cohort,endpoint,subset,model,n,events,auc,auc_ci_low,auc_ci_high,auprc,auprc_ci_low,auprc_ci_high,brier,brier_ci_low,brier_ci_high,ece,ece_ci_low,ece_ci_high,calibration_intercept,calibration_intercept_ci_low,calibration_intercept_ci_high,calibration_slope,calibration_slope_ci_low,calibration_slope_ci_high,mean_predicted,mean_predicted_ci_low,mean_predicted_ci_high,observed_rate,observed_rate_ci_low,observed_rate_ci_high,oe_ratio,oe_ratio_ci_low,oe_ratio_ci_high
Krasnoyarsk,in-hospital fatal outcome,5-fold out-of-fold,TabPFN v2,1700,271,0.6731425221879931,0.6385142252888986,0.7062549785760941,0.25850515852756595,0.22278969078933253,0.30542918458611856,0.1279901477622267,0.11674470461232542,0.13944668057449872,0.022977882735431197,0.01881620543166611,0.04476149070561479,-0.07003828887623785,-0.44425741213704784,0.3230850098542703,0.8623377519452353,0.6558373383647883,1.0958300787258837,0.14019108082222587,0.1362348132811432,0.14410482220477697,0.15941176470588236,0.14233823529411765,0.17647058823529413,1.137103471711085,1.0182298087372252,1.2593612439771187
Krasnoyarsk,in-hospital fatal outcome,5-fold out-of-fold,Logistic regression,1700,271,0.6731425221879931,0.6388715036748223,0.7059024451336186,0.2586627898741637,0.2227058542499897,0.3045496331661737,0.1279881062644387,0.11719436515919311,0.13889909383080395,0.023386123234281766,0.0188323959282679,0.04532189526263117,-0.10358737283138099,-0.45254784200740755,0.24096908912400558,0.9298851420261961,0.7305912599339051,1.1469464931561517,0.15886090461124394,0.15463245072508228,0.16301708308091567,0.15941176470588236,0.14233823529411765,0.17647058823529413,1.0034675623683904,0.899434371276642,1.111045415858991
Hungarian AMI registry,death_30d,all first events,TabPFN v2,29596,3888,0.696375277651318,0.6878884686791895,0.7050024510617905,0.24238130738639757,0.23193135880687707,0.253578328271233,0.10925949964406102,0.10690714192661009,0.11171864841342519,0.03410525777930268,0.03057083351652593,0.0379491171692283,-0.2671421248060302,-0.3556140714243835,-0.18360005440438448,1.0135957547177754,0.9582980302118268,1.0706878942835034,0.16538989392966652,0.16434670092340753,0.1664325784278543,0.13136910393296392,0.12758480875794026,0.13525476415731855,0.7942994629939708,0.7723352474445884,0.8169953713067355
Hungarian AMI registry,death_30d,all first events,Logistic regression,29596,3888,0.7045021963587899,0.6960110639013003,0.7129011935393322,0.25814787438157755,0.2472013691297601,0.2704259282834084,0.1106418108757157,0.10841215834345425,0.11292359786168518,0.056850236081223235,0.053093997922010534,0.060516505321013866,-0.40531003179179087,-0.4795551849598617,-0.334286228602398,1.0424220111346578,0.9935257843417675,1.092359720390666,0.1882193400141872,0.18702344015898945,0.1894447498142694,0.13136910393296392,0.12758480875794026,0.13525476415731855,0.6979575208533929,0.6789043138417112,0.7178568233941728
Hungarian AMI registry,death_30d,complete case,TabPFN v2,28477,3465,0.7044545256083717,0.695723546753527,0.7135855908503587,0.2351347879547293,0.22436868844293034,0.24775585531590621,0.10300674550992486,0.10078333445327238,0.10534152590080285,0.04320250814177852,0.03958497574559942,0.04681255823216722,-0.2825144562179045,-0.378164875967747,-0.1845003811285428,1.065673906924131,1.0034016024514367,1.1303286696898271,0.16487965109925296,0.16381572583381002,0.16591827138425952,0.12167714295747445,0.11791972469010079,0.1254345612248481,0.7379754999859152,0.7164024846081053,0.7602421603474965
Hungarian AMI registry,death_30d,complete case,Logistic regression,28477,3465,0.7129135590674052,0.7040455409904838,0.7222648429264751,0.24995585112729343,0.23806958915814375,0.26334706210834735,0.10486158205861595,0.10276781151199886,0.10702541751356608,0.06578217533734451,0.06210860175545751,0.0693111183112767,-0.4378166890905117,-0.5130049270585502,-0.3599240247490864,1.0876714330448585,1.0351551012731894,1.144071610142689,0.187459318294819,0.1862464216938381,0.18869686464576169,0.12167714295747445,0.11791972469010079,0.1254345612248481,0.6490855939533061,0.6303327306008626,0.6684107634961826
Hungarian AMI registry,death_7d,all first events,TabPFN v2,29596,2408,0.6898922193419317,0.6794421341364127,0.7003245827998493,0.15118111226338762,0.14223584382948176,0.16144308817740355,0.08117951000657478,0.07933815040961292,0.08309579727407511,0.084027547666658,0.08104752759019461,0.08705000440176248,-0.8963098525812992,-1.0041007549386216,-0.7923218532160662,0.9633040323005064,0.8922761476854576,1.0325213303022567,0.16538989392966652,0.16436448812440277,0.1663984626556909,0.08136234626300852,0.07815160832544939,0.08443708609271523,0.4919426715250725,0.4737509763703121,0.5100715346579041
Hungarian AMI registry,death_7d,all first events,Logistic regression,29596,2408,0.6972396765330806,0.6866294912906833,0.7076052440243342,0.16211370784296816,0.15239830017377703,0.17321228132386843,0.08619067315730072,0.08442375629687333,0.08799921747639008,0.10685699375117866,0.10377542154662925,0.10980648130505641,-1.0446333689208853,-1.128724889589239,-0.964316870151065,0.981150757432466,0.9209265270717527,1.0402862320098467,0.1882193400141872,0.18697903524447948,0.18939360216015294,0.08136234626300852,0.07815160832544939,0.08443708609271523,0.43227410242154585,0.4164637908290998,0.4481745704547582
Hungarian AMI registry,death_7d,complete case,TabPFN v2,28477,2118,0.6989050117572857,0.6882395472866693,0.7097866348779511,0.14543695941145252,0.1357260608501596,0.15694426556813382,0.07669268680375997,0.07481507827696202,0.07856253653875563,0.09050383904039845,0.08732513140318383,0.09357431333760506,-0.9169295451868247,-1.0295304293149008,-0.7994600710461844,1.0186352270101997,0.9427437273689855,1.0953409054015009,0.16487965109925296,0.16377178195299125,0.16600021573966334,0.07437581205885452,0.0713549531200618,0.07753625733047723,0.45109151774030837,0.4327153887165279,0.47020080225228705
Hungarian AMI registry,death_7d,complete case,Logistic regression,28477,2118,0.7066447605967734,0.6956245894576643,0.7174945042065287,0.15533372580161464,0.1450329395247897,0.16727904174512198,0.08200480164226187,0.08027164719254538,0.0837466430633634,0.11308350623596446,0.10985780725700084,0.11620077462892879,-1.0837924114934063,-1.1718590977515329,-0.9917307047071244,1.0290863193897783,0.9652165014390663,1.0941319331977393,0.187459318294819,0.18620354552501653,0.18878879484324612,0.07437581205885452,0.0713549531200618,0.07753625733047723,0.39675708167189105,0.38092297995669155,0.41354059596053117
