head,loss,contrast,n_paired_seeds,mean_difference,ci_low,ci_high
dot,W-BCE,asymmetric - none,10,-0.002775503260364065,-0.01566450952571073,0.0101135030049826
dot,W-BCE,symmetric - none,10,-0.014071406641107976,-0.02729652826030872,-0.0008462850219072299
dot,W-ASL-g2,asymmetric - none,10,-0.0073282108973346085,-0.019543156832459475,0.004886735037790259
dot,W-ASL-g2,symmetric - none,10,-0.0024324937972531437,-0.017078699388446705,0.012213711793940416
dot,W-ASL-g3,asymmetric - none,10,-0.0058084069632244216,-0.01510996045555162,0.0034931465291027754
dot,W-ASL-g3,symmetric - none,10,-0.006153396753894491,-0.017455128470616352,0.00514833496282737
concat,W-BCE,asymmetric - none,10,-0.0013848407126750505,-0.011057139783275789,0.008287458357925687
concat,W-BCE,symmetric - none,10,-0.009517514275192606,-0.019911877480223137,0.0008768489298379249
concat,W-ASL-g2,asymmetric - none,10,-0.005639505127693944,-0.015011305513902791,0.003732295258514903
concat,W-ASL-g2,symmetric - none,10,-0.0010255150683322833,-0.019622071749719333,0.01757104161305477
concat,W-ASL-g3,asymmetric - none,10,-0.000624162650602389,-0.01756217916536117,0.016313853864156392
concat,W-ASL-g3,symmetric - none,10,0.0023163817200954396,-0.016477531616621098,0.02111029505681198
