model,metric,estimate,ci_low,ci_high,n_bootstrap,interval_method
BR-LR,macro_auroc,0.6815528470271399,0.6625437048836761,0.7001266004578499,2000,bootstrap percentile
BR-LR,micro_auroc,0.7449844528589646,0.7324126193522125,0.7565681181221062,2000,bootstrap percentile
BR-LR,macro_auprc,0.1802006776233195,0.17093426035513115,0.19864946056362542,2000,bootstrap percentile
BR-LR,brier,0.16278174504251613,0.15905858160409386,0.16679479356936164,2000,bootstrap percentile
BR-LR,ece_10,0.24352986566764043,0.23825647287930773,0.24880325845597312,2000,bootstrap standard-error normal
BR-LR,macro_f1_0_5,0.2246153871039306,0.21147884062339414,0.2365691461587304,2000,bootstrap percentile
BR-XGBoost,macro_auroc,0.6627607704697849,0.6423483699541044,0.682613344018705,2000,bootstrap percentile
BR-XGBoost,micro_auroc,0.7749552978608711,0.762680347604824,0.7870829187776535,2000,bootstrap percentile
BR-XGBoost,macro_auprc,0.1846324025695795,0.17639263550055606,0.2031968787224709,2000,bootstrap percentile
BR-XGBoost,brier,0.0841830473860215,0.08155621801695047,0.08673383810310482,2000,bootstrap percentile
BR-XGBoost,ece_10,0.10068966479891435,0.09685076264589304,0.10452856695193566,2000,bootstrap standard-error normal
BR-XGBoost,macro_f1_0_5,0.18130981007058566,0.16384695652316925,0.19880197632729454,2000,bootstrap percentile
BR-LightGBM,macro_auroc,0.6682131424327138,0.6483668751230274,0.6868705519700892,2000,bootstrap percentile
BR-LightGBM,micro_auroc,0.7825297466440527,0.7709754569751686,0.7943760081988182,2000,bootstrap percentile
BR-LightGBM,macro_auprc,0.1903804263315005,0.18137198191426954,0.20936837551530285,2000,bootstrap percentile
BR-LightGBM,brier,0.07512508428398831,0.07242104951639157,0.07775836080542468,2000,bootstrap percentile
BR-LightGBM,ece_10,0.07211670981607898,0.0685235725085797,0.07570984712357827,2000,bootstrap standard-error normal
BR-LightGBM,macro_f1_0_5,0.16675030064503893,0.14951168163407583,0.18435287177231768,2000,bootstrap percentile
BR-CatBoost,macro_auroc,0.6744065546801193,0.6532877347575394,0.6946322678063418,2000,bootstrap percentile
BR-CatBoost,micro_auroc,0.7444877660763355,0.7307910645200371,0.7578167675304359,2000,bootstrap percentile
BR-CatBoost,macro_auprc,0.19452624716164524,0.18492039815764588,0.2139474551214016,2000,bootstrap percentile
BR-CatBoost,brier,0.17116810853857062,0.16965993397762844,0.17272178822718667,2000,bootstrap percentile
BR-CatBoost,ece_10,0.31917314452682033,0.3154662896137054,0.3228799994399353,2000,bootstrap standard-error normal
BR-CatBoost,macro_f1_0_5,0.22787173341685615,0.2109910836087877,0.2445232773668546,2000,bootstrap percentile
ECC-LightGBM,macro_auroc,0.6775291449306184,0.656741730353508,0.696387041711301,2000,bootstrap percentile
ECC-LightGBM,micro_auroc,0.7904282530666982,0.7791031085977805,0.8024577382374207,2000,bootstrap percentile
ECC-LightGBM,macro_auprc,0.19471365890922687,0.1862655566693093,0.2142989019704175,2000,bootstrap percentile
ECC-LightGBM,brier,0.06287450442557867,0.05971713134495657,0.06608356154617565,2000,bootstrap percentile
ECC-LightGBM,ece_10,0.024027717456446707,0.020843617283570676,0.02721181762932274,2000,bootstrap standard-error normal
ECC-LightGBM,macro_f1_0_5,0.0737376168576921,0.06479454778053537,0.08235020278557371,2000,bootstrap percentile
LP-RF,macro_auroc,0.7138285820967867,0.6939359068062307,0.732096059738531,2000,bootstrap percentile
LP-RF,micro_auroc,0.7922151224707135,0.7810841906385952,0.8040728532035927,2000,bootstrap percentile
LP-RF,macro_auprc,0.20448885627239302,0.19602367965290945,0.22558691974800354,2000,bootstrap percentile
LP-RF,brier,0.06355582480491381,0.060538119119353785,0.0666551756639165,2000,bootstrap percentile
LP-RF,ece_10,0.026908576768565538,0.024090701117494645,0.02972645241963643,2000,bootstrap standard-error normal
LP-RF,macro_f1_0_5,0.03855051483476323,0.03163514558169407,0.045022628601650905,2000,bootstrap percentile
RAkEL-RF,macro_auroc,0.7089635044749323,0.6890263794144995,0.7285497089668239,2000,bootstrap percentile
RAkEL-RF,micro_auroc,0.7948089640936643,0.7839276546155614,0.806354487457369,2000,bootstrap percentile
RAkEL-RF,macro_auprc,0.20964893651625593,0.19904571766251122,0.23644457189582258,2000,bootstrap percentile
RAkEL-RF,brier,0.0631384539915495,0.060171304197105015,0.06619182879627461,2000,bootstrap percentile
RAkEL-RF,ece_10,0.021949476649993842,0.019213159628533552,0.024685793671454133,2000,bootstrap standard-error normal
RAkEL-RF,macro_f1_0_5,0.04565227798958932,0.03838931485788901,0.05214319057135579,2000,bootstrap percentile
Shared-MLP,macro_auroc,0.6969144176673141,0.678525412147353,0.7144221346574695,2000,bootstrap percentile
Shared-MLP,micro_auroc,0.7541157193757477,0.7416018978469903,0.7661024675840464,2000,bootstrap percentile
Shared-MLP,macro_auprc,0.18277141068404568,0.17420793089288242,0.20208548561671968,2000,bootstrap percentile
Shared-MLP,brier,0.16950811940868815,0.16598796891245582,0.17305255172594866,2000,bootstrap percentile
Shared-MLP,ece_10,0.2862105612407968,0.2808377743792658,0.2915833481023278,2000,bootstrap standard-error normal
Shared-MLP,macro_f1_0_5,0.22415958868099586,0.21158477507109305,0.23621647567502396,2000,bootstrap percentile
MultiTask-DNN,macro_auroc,0.6913291443037822,0.672051761790912,0.7093966645358549,2000,bootstrap percentile
MultiTask-DNN,micro_auroc,0.7498443806781576,0.7369077996211694,0.7618022617057573,2000,bootstrap percentile
MultiTask-DNN,macro_auprc,0.18178710519202104,0.17409219579326649,0.20093412073883568,2000,bootstrap percentile
MultiTask-DNN,brier,0.1692161088897649,0.16582377360778044,0.17265249644444974,2000,bootstrap percentile
MultiTask-DNN,ece_10,0.2816630238029271,0.27648401603453504,0.2868420315713192,2000,bootstrap standard-error normal
MultiTask-DNN,macro_f1_0_5,0.22456620049836473,0.21180150085938892,0.23637468778024837,2000,bootstrap percentile
TabPFN,macro_auroc,0.6945243906192126,0.6728590651320429,0.7155463654373699,2000,bootstrap percentile
TabPFN,micro_auroc,0.8043270027215714,0.7932970002003142,0.8154396168824342,2000,bootstrap percentile
TabPFN,macro_auprc,0.20770011665206448,0.19686764250045471,0.23334685800902802,2000,bootstrap percentile
TabPFN,brier,0.06154456218499428,0.0584510304879702,0.06467190712883336,2000,bootstrap percentile
TabPFN,ece_10,0.015276189231000757,0.012460728737741983,0.018091649724259532,2000,bootstrap standard-error normal
TabPFN,macro_f1_0_5,0.07454626791520967,0.06672033241522925,0.08205507371484369,2000,bootstrap percentile
Ensemble-LP-RF-TabPFN-Equal,macro_auroc,0.7189958044880559,0.6984835420390415,0.7389489035476253,2000,bootstrap percentile
Ensemble-LP-RF-TabPFN-Equal,micro_auroc,0.8045958400715234,0.793837837398391,0.8157709969723127,2000,bootstrap percentile
Ensemble-LP-RF-TabPFN-Equal,macro_auprc,0.2166098731302775,0.20610143046929577,0.2438081308371511,2000,bootstrap percentile
Ensemble-LP-RF-TabPFN-Equal,brier,0.061878824011753805,0.0588213529410068,0.06493862561722165,2000,bootstrap percentile
Ensemble-LP-RF-TabPFN-Equal,ece_10,0.02097097747219152,0.01811030364588028,0.02383165129850276,2000,bootstrap standard-error normal
Ensemble-LP-RF-TabPFN-Equal,macro_f1_0_5,0.059335605469552,0.05234233109558873,0.06630009019863296,2000,bootstrap percentile
Ensemble-LP-RF-TabPFN-Weighted,macro_auroc,0.7191592680984255,0.6985564517945791,0.7391679218676547,2000,bootstrap percentile
Ensemble-LP-RF-TabPFN-Weighted,micro_auroc,0.8046839624502032,0.7939067395186336,0.8158236593763777,2000,bootstrap percentile
Ensemble-LP-RF-TabPFN-Weighted,macro_auprc,0.2164277225296233,0.20596314337354485,0.24378679879715462,2000,bootstrap percentile
Ensemble-LP-RF-TabPFN-Weighted,brier,0.061870242027935396,0.05881173484943451,0.06493050663591443,2000,bootstrap percentile
Ensemble-LP-RF-TabPFN-Weighted,ece_10,0.02088075181089971,0.018039639909321517,0.023721863712477906,2000,bootstrap standard-error normal
Ensemble-LP-RF-TabPFN-Weighted,macro_f1_0_5,0.059335605469552,0.05234233109558873,0.06630009019863296,2000,bootstrap percentile
