model,label,bin,n,mean_predicted,observed_rate
BR-LR,FIBR_PREDS,1,170,0.06575510053244084,0.023529411764705882
BR-LR,FIBR_PREDS,2,170,0.13168460674405968,0.03529411764705882
BR-LR,FIBR_PREDS,3,170,0.18178899347549832,0.041176470588235294
BR-LR,FIBR_PREDS,4,170,0.23967559412815798,0.041176470588235294
BR-LR,FIBR_PREDS,5,170,0.2992961749879981,0.08235294117647059
BR-LR,FIBR_PREDS,6,170,0.36618425095487356,0.09411764705882353
BR-LR,FIBR_PREDS,7,170,0.4416015135072807,0.08235294117647059
BR-LR,FIBR_PREDS,8,170,0.5323555338182441,0.13529411764705881
BR-LR,FIBR_PREDS,9,170,0.6415169212675231,0.1588235294117647
BR-LR,FIBR_PREDS,10,170,0.8364825870478206,0.3058823529411765
BR-LR,PREDS_TAH,1,170,0.0028330173217330653,0.023529411764705882
BR-LR,PREDS_TAH,2,170,0.011927725050674172,0.011764705882352941
BR-LR,PREDS_TAH,3,170,0.028193598434685937,0.0058823529411764705
BR-LR,PREDS_TAH,4,170,0.05115745537665802,0.01764705882352941
BR-LR,PREDS_TAH,5,170,0.08081290965648905,0.0058823529411764705
BR-LR,PREDS_TAH,6,170,0.12934523856079888,0.01764705882352941
BR-LR,PREDS_TAH,7,170,0.20169062432729334,0.0058823529411764705
BR-LR,PREDS_TAH,8,170,0.301720271605619,0.0058823529411764705
BR-LR,PREDS_TAH,9,170,0.4554091881688183,0.011764705882352941
BR-LR,PREDS_TAH,10,170,0.718747737110579,0.011764705882352941
BR-LR,JELUD_TAH,1,170,0.00035455066083765014,0.0058823529411764705
BR-LR,JELUD_TAH,2,170,0.0034876322298961183,0.0
BR-LR,JELUD_TAH,3,170,0.011504692007947874,0.0
BR-LR,JELUD_TAH,4,170,0.026035719690562592,0.011764705882352941
BR-LR,JELUD_TAH,5,170,0.05031051822132661,0.011764705882352941
BR-LR,JELUD_TAH,6,170,0.088297622140543,0.041176470588235294
BR-LR,JELUD_TAH,7,170,0.1607180304958451,0.01764705882352941
BR-LR,JELUD_TAH,8,170,0.2700076095292136,0.023529411764705882
BR-LR,JELUD_TAH,9,170,0.46610184329604065,0.052941176470588235
BR-LR,JELUD_TAH,10,170,0.7860841460147379,0.08235294117647059
BR-LR,FIBR_JELUD,1,170,0.03873198902862502,0.029411764705882353
BR-LR,FIBR_JELUD,2,170,0.07942208358868019,0.041176470588235294
BR-LR,FIBR_JELUD,3,170,0.1251785044178424,0.023529411764705882
BR-LR,FIBR_JELUD,4,170,0.17496542364160092,0.029411764705882353
BR-LR,FIBR_JELUD,5,170,0.2298194273667026,0.023529411764705882
BR-LR,FIBR_JELUD,6,170,0.29305478721294903,0.041176470588235294
BR-LR,FIBR_JELUD,7,170,0.3699979233728586,0.023529411764705882
BR-LR,FIBR_JELUD,8,170,0.4729459182433979,0.03529411764705882
BR-LR,FIBR_JELUD,9,170,0.6072363021932077,0.08823529411764706
BR-LR,FIBR_JELUD,10,170,0.8046854058948083,0.08235294117647059
BR-LR,A_V_BLOK,1,170,0.005700553206332345,0.0058823529411764705
BR-LR,A_V_BLOK,2,170,0.021037226380176074,0.011764705882352941
BR-LR,A_V_BLOK,3,170,0.04142070866382439,0.029411764705882353
BR-LR,A_V_BLOK,4,170,0.07010937596915057,0.0058823529411764705
BR-LR,A_V_BLOK,5,170,0.10712110045576949,0.0058823529411764705
BR-LR,A_V_BLOK,6,170,0.16156810161672297,0.01764705882352941
BR-LR,A_V_BLOK,7,170,0.2319593338207438,0.029411764705882353
BR-LR,A_V_BLOK,8,170,0.3378104130548931,0.03529411764705882
BR-LR,A_V_BLOK,9,170,0.5243316871425984,0.058823529411764705
BR-LR,A_V_BLOK,10,170,0.8157419398486734,0.13529411764705881
BR-LR,OTEK_LANC,1,170,0.08889532103152469,0.03529411764705882
BR-LR,OTEK_LANC,2,170,0.1632997813945283,0.03529411764705882
BR-LR,OTEK_LANC,3,170,0.22484713710704818,0.047058823529411764
BR-LR,OTEK_LANC,4,170,0.28322651247385533,0.07058823529411765
BR-LR,OTEK_LANC,5,170,0.33944113024104006,0.08235294117647059
BR-LR,OTEK_LANC,6,170,0.4046266474978705,0.09411764705882353
BR-LR,OTEK_LANC,7,170,0.4751282552947156,0.13529411764705881
BR-LR,OTEK_LANC,8,170,0.5565919521596693,0.13529411764705881
BR-LR,OTEK_LANC,9,170,0.6566513854551362,0.11764705882352941
BR-LR,OTEK_LANC,10,170,0.8057043981742321,0.18235294117647058
BR-LR,RAZRIV,1,170,0.0017511584596816153,0.0058823529411764705
BR-LR,RAZRIV,2,170,0.0076334239516291135,0.0
BR-LR,RAZRIV,3,170,0.019367350555085348,0.0
BR-LR,RAZRIV,4,170,0.03937236975444195,0.023529411764705882
BR-LR,RAZRIV,5,170,0.07063767920986132,0.01764705882352941
BR-LR,RAZRIV,6,170,0.12758883090962828,0.03529411764705882
BR-LR,RAZRIV,7,170,0.22579362263909347,0.023529411764705882
BR-LR,RAZRIV,8,170,0.3518599169100261,0.047058823529411764
BR-LR,RAZRIV,9,170,0.5630036032866229,0.052941176470588235
BR-LR,RAZRIV,10,170,0.8332141606138525,0.11176470588235295
BR-LR,DRESSLER,1,170,0.01721891037088418,0.01764705882352941
BR-LR,DRESSLER,2,170,0.0699250081089791,0.0058823529411764705
BR-LR,DRESSLER,3,170,0.13236664025654318,0.03529411764705882
