model,macro_auroc,micro_auroc,macro_auprc,brier,ece_10,macro_f1_0_5
BR-LR,0.6815528470271399,0.7449844528589646,0.1802006776233195,0.16278174504251613,0.24352986566764043,0.2246153871039306
BR-XGBoost,0.6627607704697849,0.7749552978608711,0.1846324025695795,0.0841830473860215,0.10068966479891435,0.18130981007058566
BR-LightGBM,0.6682131424327138,0.7825297466440527,0.1903804263315005,0.07512508428398831,0.07211670981607898,0.16675030064503893
BR-CatBoost,0.6744065546801193,0.7444877660763355,0.19452624716164524,0.17116810853857062,0.31917314452682033,0.22787173341685615
ECC-LightGBM,0.6775291449306184,0.7904282530666982,0.19471365890922687,0.06287450442557867,0.024027717456446707,0.0737376168576921
LP-RF,0.7138285820967867,0.7922151224707135,0.20448885627239302,0.06355582480491381,0.026908576768565538,0.03855051483476323
RAkEL-RF,0.7089635044749323,0.7948089640936643,0.20964893651625593,0.0631384539915495,0.021949476649993842,0.04565227798958932
Shared-MLP,0.6969144176673141,0.7541157193757477,0.18277141068404568,0.16950811940868815,0.2862105612407968,0.22415958868099586
MultiTask-DNN,0.6913291443037822,0.7498443806781576,0.18178710519202104,0.1692161088897649,0.2816630238029271,0.22456620049836473
TabPFN,0.6945243906192126,0.8043270027215714,0.20770011665206448,0.06154456218499428,0.015276189231000757,0.07454626791520967
Ensemble-LP-RF-TabPFN-Equal,0.7189958044880559,0.8045958400715234,0.2166098731302775,0.061878824011753805,0.02097097747219152,0.059335605469552
Ensemble-LP-RF-TabPFN-Weighted,0.7191592680984255,0.8046839624502032,0.2164277225296233,0.061870242027935396,0.02088075181089971,0.059335605469552
