model,repeat,macro_auroc,micro_auroc,macro_auprc,brier,ece_10,macro_f1_0_5
BR-LR,1,0.6693136379155883,0.7339919996318648,0.1785740696641469,0.17001064857880502,0.2438370235195825,0.21976681685046082
BR-LR,2,0.6760395645469384,0.7360568768981973,0.17257760423542737,0.17108797194013772,0.2452803528039208,0.21987395744718494
BR-LR,3,0.6704753839875034,0.7324449440565877,0.17020792588609093,0.17101063200197758,0.24404191850090506,0.21403960934832056
BR-LR,4,0.6738453711022313,0.7360438606870982,0.17333650623694954,0.1704274023872056,0.24413444336076293,0.22375800699615409
BR-LR,5,0.6821405928304043,0.740574784049225,0.1779931535364434,0.16978259882321556,0.24405392409628116,0.21941696490046736
BR-XGBoost,1,0.6419247889417053,0.7553652263374485,0.17850155594458106,0.09096352995967728,0.10492101951929016,0.19765749779416222
BR-XGBoost,2,0.6592835452516509,0.761349938863251,0.17934589025943723,0.09080936157468085,0.10465041086499838,0.1915635841456639
BR-XGBoost,3,0.6387402334849045,0.7558503267200463,0.17524307216941426,0.09141672340922033,0.10506018107008798,0.18417344369416921
BR-XGBoost,4,0.6372087751448147,0.7566999467518636,0.1702793418124183,0.09093125639773668,0.1037980060096315,0.1949517968942124
BR-XGBoost,5,0.6476523089270176,0.7597561596918182,0.17294526520730824,0.09165824084057417,0.10533510474183584,0.19048609831015684
BR-LightGBM,1,0.6548374903266306,0.765733049343273,0.17985677726923077,0.0813366416153968,0.07855346590910216,0.19217847081070594
BR-LightGBM,2,0.6539300265782769,0.7685635493498468,0.1805603259839695,0.08111383349320797,0.0776997852615537,0.18714091425947574
BR-LightGBM,3,0.6447563099046775,0.7634047252790597,0.17609232570696132,0.08176980803473477,0.07937448149669472,0.18524272813158782
BR-LightGBM,4,0.6501466035296548,0.7657945476537951,0.17610789488469783,0.08153480589146306,0.0775872734591656,0.1692601070156963
BR-LightGBM,5,0.6588148565972402,0.7694883577222944,0.18202968651168291,0.0817886223150349,0.07832883761487472,0.19190811210581074
BR-CatBoost,1,0.6551987002043447,0.7172037990244415,0.17593931448602088,0.17097224159839275,0.31209239264317773,0.20759244557354473
BR-CatBoost,2,0.663713016563067,0.7258055259732576,0.18324541855806367,0.16971736530794854,0.31028435231737356,0.2222894343308434
BR-CatBoost,3,0.6461709864397787,0.7044687183633758,0.17976491725943752,0.17671020236761678,0.318097880402783,0.2153349383944012
