patient_row,repeat_1_outer_fold,repeat_2_outer_fold,repeat_3_outer_fold,repeat_4_outer_fold,repeat_5_outer_fold
0,4,4,4,3,4
1,4,1,0,4,0
2,3,3,2,1,1
3,4,0,0,2,1
4,4,4,0,1,2
5,1,4,4,2,1
6,3,2,0,2,4
7,0,2,4,2,3
8,1,0,2,4,4
9,2,0,2,1,2
10,1,1,4,4,1
11,4,2,1,2,0
12,3,4,1,1,2
13,0,1,1,2,4
14,2,2,2,3,3
15,3,2,3,4,4
16,2,2,2,4,0
17,4,2,4,2,0
18,1,4,0,1,0
19,2,1,1,2,2
20,1,0,1,1,3
21,0,3,1,2,0
22,4,1,4,0,3
23,2,4,2,0,3
24,0,3,1,3,0
25,1,2,3,0,4
26,1,4,4,2,2
27,1,3,2,0,4
28,4,3,0,0,3
29,0,2,2,2,2
30,1,2,3,1,4
31,3,2,2,2,0
32,1,1,3,1,4
33,3,4,4,2,2
34,3,3,2,1,1
35,3,1,1,3,3
36,0,1,2,2,2
37,4,3,4,2,0
38,3,4,0,2,4
39,1,4,1,4,0
40,0,1,0,0,1
41,2,3,1,4,2
42,3,2,4,1,0
43,1,3,2,4,2
44,4,0,2,4,1
45,1,1,1,3,3
46,0,2,4,3,4
47,3,1,3,3,1
48,1,2,1,4,1
49,3,1,1,2,3
50,3,2,2,4,0
51,1,1,4,2,1
52,1,1,2,0,2
53,3,2,2,1,1
54,4,3,4,3,1
55,4,4,2,2,1
56,3,3,1,3,2
57,0,2,1,0,0
58,4,2,1,4,2
59,4,1,0,0,0
60,4,3,2,4,2
61,1,0,4,2,2
62,1,4,1,2,0
63,1,1,3,4,2
64,2,2,2,4,0
65,2,2,3,3,4
66,1,3,3,1,3
67,3,3,2,2,4
68,4,2,2,0,4
69,2,2,3,2,1
70,3,3,2,2,4
71,3,4,4,3,3
72,2,0,2,1,3
73,1,0,4,2,1
74,4,1,2,4,1
75,3,3,2,1,0
76,4,2,0,0,3
77,2,4,2,3,2
78,2,3,3,0,1
79,2,0,0,2,0
80,1,3,1,4,3
81,0,0,2,3,4
82,0,3,1,4,1
83,2,0,1,2,3
84,1,0,3,0,0
85,1,4,4,0,1
86,0,4,1,0,2
87,4,0,0,3,0
88,0,4,2,4,0
89,2,4,0,1,1
90,1,2,1,1,0
91,4,4,2,3,0
92,4,4,1,1,4
93,0,0,4,2,3
94,2,1,3,1,0
95,3,1,0,1,3
96,3,4,1,1,3
97,3,1,3,2,0
98,0,1,2,2,3
99,2,0,0,2,3
100,4,4,1,0,2
101,3,0,3,1,3
102,0,0,2,1,0
103,1,2,0,0,2
104,2,2,0,4,1
105,0,1,2,4,2
106,4,3,3,0,0
107,3,2,0,4,1
108,1,4,0,1,1
109,0,4,2,3,4
110,4,0,2,3,4
111,4,2,2,0,3
112,1,4,2,3,2
113,1,1,4,3,1
114,0,2,2,2,3
115,2,4,0,0,3
116,4,3,2,3,1
117,0,4,4,4,2
118,0,1,1,0,2
119,0,0,0,4,3
120,0,4,1,4,0
121,4,1,4,1,1
122,4,0,0,3,0
123,2,4,4,0,2
124,3,1,4,3,3
125,3,3,0,4,4
126,3,1,0,1,1
127,4,3,4,0,1
128,3,3,1,1,4
129,2,3,4,1,1
130,1,4,4,4,2
131,4,3,3,0,1
132,3,2,1,3,2
133,3,2,2,4,3
134,4,1,2,1,3
135,4,3,1,4,3
136,1,1,1,0,3
137,0,4,2,2,1
138,3,4,1,1,3
139,0,2,3,0,1
140,1,0,4,1,0
141,4,0,0,0,4
142,1,0,2,3,0
143,3,0,1,1,1
144,0,0,2,2,4
145,4,4,4,3,3
146,4,0,0,0,3
147,3,4,3,4,2
148,3,3,4,2,0
149,3,1,3,3,4
150,2,4,2,1,0
151,1,3,4,2,3
152,1,4,2,1,0
153,2,3,2,0,1
154,1,4,2,4,3
155,2,4,4,4,1
156,4,3,0,3,1
157,0,2,4,4,1
158,1,4,2,3,1
159,3,4,3,3,0
160,1,3,1,3,2
161,2,1,1,4,0
162,2,4,4,3,2
163,0,0,4,0,1
164,3,2,4,1,3
165,4,3,0,4,2
166,1,3,0,3,4
167,4,3,0,1,4
168,4,1,4,4,2
169,2,2,0,0,0
170,4,2,2,1,2
171,4,1,1,4,0
172,2,0,2,0,2
173,0,4,1,1,2
174,0,0,3,3,2
175,3,1,2,3,0
176,3,3,3,0,2
177,1,3,0,3,2
178,0,1,4,0,0
179,0,1,3,2,3
180,1,0,4,3,0
181,4,0,2,1,1
182,2,4,1,0,2
183,1,0,3,1,0
184,1,4,0,1,1
185,0,2,3,1,3
186,1,0,1,1,3
187,2,4,2,1,3
188,4,3,2,2,4
189,0,4,2,3,2
190,2,0,1,3,0
191,0,4,2,4,3
192,0,2,0,2,3
193,3,0,3,2,2
194,1,1,3,2,0
195,3,1,0,1,1
196,3,3,4,0,1
197,2,2,1,3,0
198,3,2,2,0,3
199,4,4,0,0,1
200,2,0,2,0,2
201,4,2,1,4,2
202,4,1,4,3,2
203,4,4,3,4,1
204,2,0,3,0,4
205,2,1,0,4,2
206,1,0,4,2,4
207,3,3,0,4,0
208,3,1,3,3,0
209,3,3,3,3,1
210,3,4,4,3,0
211,4,2,0,4,1
212,0,4,0,2,0
213,4,0,1,1,4
214,4,1,4,3,0
215,2,4,1,2,2
216,2,3,2,3,3
217,1,3,3,0,1
218,1,2,2,1,0
219,0,3,1,3,3
220,3,0,2,4,1
221,3,4,3,0,0
222,3,2,2,3,1
223,3,1,2,3,3
224,1,1,0,2,1
225,2,3,4,1,0
226,2,4,1,3,0
227,4,4,3,1,1
228,1,4,3,1,0
229,0,2,3,4,1
230,0,2,3,2,3
231,1,0,2,1,0
232,3,4,0,1,3
233,4,4,4,3,4
234,1,2,0,3,1
235,0,0,1,0,3
236,2,2,0,3,0
237,3,4,1,0,0
238,2,0,1,4,2
239,0,0,3,3,4
240,4,3,3,2,0
241,0,2,0,1,0
242,1,1,0,3,1
243,2,1,0,4,3
244,1,0,0,3,1
245,3,2,1,2,3
246,1,2,0,4,2
247,3,1,2,2,2
248,1,4,3,2,0
249,4,4,4,3,1
250,3,0,2,3,3
251,1,2,1,3,3
252,1,0,3,0,1
253,2,1,0,2,2
254,2,0,0,1,2
255,1,1,3,0,2
256,0,4,3,3,1
257,0,4,1,0,1
258,3,1,3,2,0
259,3,4,1,3,0
260,2,2,2,1,2
261,1,3,1,2,1
262,2,2,4,4,3
263,0,0,0,2,0
264,2,3,0,4,2
265,3,3,0,3,1
266,4,4,3,4,3
267,3,0,1,2,1
268,4,1,4,1,3
269,2,0,0,0,4
270,0,1,1,4,1
271,2,3,1,2,1
272,1,0,3,1,3
273,1,0,4,4,2
274,1,0,1,2,0
275,4,1,3,0,0
276,4,4,4,1,1
277,3,0,3,2,4
278,3,3,1,3,4
279,3,0,0,0,0
280,2,0,4,0,4
281,4,4,3,2,4
282,3,3,3,2,2
283,1,2,3,1,2
284,2,3,4,3,4
285,2,0,0,1,0
286,4,2,2,2,2
287,1,3,2,3,3
288,1,4,4,0,4
289,2,2,2,0,1
290,2,1,4,2,1
291,0,1,2,2,2
292,2,1,4,2,0
293,4,0,4,0,2
294,1,4,3,2,2
295,3,1,1,2,2
296,1,0,0,0,4
297,2,1,2,1,3
298,4,4,1,0,2
299,3,3,1,4,2
300,3,3,2,3,2
301,0,3,3,3,2
302,0,0,1,3,0
303,4,0,1,2,2
304,3,0,0,3,0
305,3,1,4,3,0
306,3,1,1,0,3
307,3,1,0,1,3
308,2,3,0,1,3
309,2,2,1,3,1
310,3,0,2,0,1
311,4,0,4,1,2
312,4,0,3,4,2
313,3,3,3,3,0
314,0,2,1,3,4
315,4,1,2,1,4
316,1,3,4,1,4
317,2,2,3,3,1
318,3,3,3,0,1
319,0,4,1,0,3
320,3,3,3,1,4
321,0,3,1,3,4
322,2,3,3,4,0
323,0,2,4,3,3
324,0,1,2,4,1
325,1,4,3,3,2
326,0,3,1,3,2
327,2,4,4,4,4
328,2,0,3,3,1
329,0,1,1,4,2
330,2,2,0,1,0
331,2,0,1,4,3
332,0,3,3,4,4
333,3,4,3,1,1
334,0,2,4,2,1
335,0,4,3,0,1
336,3,4,3,3,0
337,4,3,1,1,4
338,1,1,2,4,1
339,3,4,0,4,4
340,1,1,4,0,3
341,3,2,3,4,0
342,3,1,0,4,1
343,2,4,1,0,4
344,4,1,4,4,2
345,4,3,1,1,0
346,0,2,0,2,2
347,1,4,2,3,3
348,0,3,1,4,4
349,1,4,4,0,3
350,3,2,1,1,3
351,3,1,2,0,3
352,1,2,3,3,0
353,4,4,1,1,2
354,3,2,4,1,4
355,2,1,2,4,1
356,4,1,1,4,1
357,3,1,1,3,0
358,4,3,3,2,3
359,3,2,0,3,0
360,4,0,4,2,0
361,4,0,3,2,4
362,4,4,0,4,1
363,3,0,0,0,3
364,3,2,4,0,0
365,3,1,2,2,4
366,1,3,1,1,2
367,1,0,3,4,1
368,1,3,2,0,4
369,4,4,1,2,0
370,3,1,0,1,0
371,3,0,0,2,2
372,2,1,1,2,2
373,0,4,0,1,4
374,0,1,2,0,4
375,3,0,1,3,3
376,0,1,0,4,0
377,4,1,4,3,2
378,2,1,1,3,0
379,1,4,0,1,1
380,3,1,0,1,0
381,2,2,4,2,2
382,4,2,4,0,3
383,4,0,2,1,3
384,0,4,1,4,3
385,1,1,2,0,3
386,4,1,1,1,3
387,1,3,0,3,3
388,2,2,3,0,3
389,0,2,2,3,3
390,3,4,0,1,0
391,2,1,0,1,0
392,4,2,2,4,4
393,4,2,2,2,0
394,1,2,4,0,0
395,4,1,4,0,2
396,1,1,3,2,0
397,0,2,2,2,1
398,2,4,3,2,2
399,2,2,2,1,4
400,1,1,2,0,2
401,2,4,1,2,1
402,3,3,2,1,0
403,2,3,0,1,4
404,0,2,4,3,1
405,2,0,4,3,1
406,1,4,0,3,2
407,1,3,0,0,2
408,3,0,4,3,3
409,3,2,4,4,2
410,3,1,1,1,3
411,4,2,4,2,0
412,2,2,3,4,3
413,3,1,3,3,2
414,4,4,3,1,0
415,2,4,1,0,0
416,1,0,3,4,3
417,1,1,4,3,1
418,1,1,1,0,2
419,3,3,2,2,2
420,0,2,0,0,3
421,0,2,2,2,1
422,4,0,4,3,2
423,4,0,4,2,1
424,1,2,2,1,1
425,4,3,2,3,1
426,2,2,2,2,2
427,2,3,2,2,4
428,0,4,2,0,4
429,3,3,0,1,2
430,0,0,4,2,4
431,2,1,2,0,2
432,0,4,2,3,1
433,0,4,3,1,4
434,1,4,3,1,3
435,4,4,4,4,3
436,2,1,0,4,1
437,2,1,0,3,3
438,1,2,3,3,3
439,1,0,2,2,2
440,4,1,0,4,0
441,0,1,3,4,1
442,0,4,4,0,3
443,0,3,2,2,0
444,0,0,1,0,2
445,0,3,3,1,2
446,3,4,3,2,0
447,0,2,1,3,1
448,4,4,0,2,2
449,1,4,3,3,0
450,4,4,4,0,2
451,0,0,0,2,4
452,4,4,0,4,0
453,3,4,3,0,4
454,4,0,0,2,1
455,2,4,0,0,4
456,0,2,1,2,3
457,1,2,1,1,2
458,0,3,3,4,3
459,0,3,1,1,0
460,3,4,2,2,4
461,0,0,4,3,0
462,1,1,1,3,1
463,3,0,2,3,0
464,1,2,2,2,4
465,2,0,4,0,0
466,4,4,2,4,0
467,2,4,4,4,2
468,4,1,4,0,1
469,1,1,4,1,4
470,0,4,4,2,3
471,2,4,3,3,0
472,4,0,3,4,3
473,0,4,0,1,1
474,4,2,3,3,4
475,1,0,1,4,4
476,1,2,4,0,2
477,3,3,0,0,3
478,3,2,1,0,0
479,2,2,1,3,1
480,2,0,1,2,4
481,1,2,4,1,4
482,2,1,3,3,4
483,3,0,2,4,4
484,2,4,4,2,1
485,0,1,2,4,3
486,1,1,0,2,3
487,1,0,0,3,4
488,1,0,0,2,2
489,4,2,1,0,3
490,3,4,3,2,3
491,4,1,4,3,2
492,3,4,0,0,4
493,2,3,1,0,3
494,0,3,0,0,1
495,3,4,2,4,1
496,1,4,0,3,2
497,0,3,0,1,2
498,4,3,0,4,4
499,2,2,4,1,4
500,4,2,1,4,3
501,4,3,0,1,0
502,2,1,1,2,2
503,2,0,2,3,2
504,4,1,1,1,3
505,4,0,4,2,4
506,0,2,1,3,2
507,2,1,2,0,3
508,3,3,0,4,3
509,0,3,3,2,0
510,2,3,0,1,3
511,3,2,4,0,3
512,4,4,0,2,1
513,3,4,3,4,1
514,1,1,1,1,3
515,1,0,3,2,2
516,2,2,4,4,0
517,3,1,1,0,1
518,4,2,3,0,3
519,4,1,3,3,1
520,1,0,4,3,4
521,2,2,4,4,0
522,3,2,0,3,2
523,4,4,3,0,4
524,0,1,3,4,0
525,4,2,4,0,1
526,0,1,3,4,1
527,0,0,3,3,1
528,0,1,0,0,1
529,0,3,4,0,0
530,3,3,0,1,0
