run,seed,rho,model,macro_auc,elapsed_seconds,label_cardinality,label_density,realized_lds,median_conditional_cooccurrence,mean_pairwise_phi,mean_true_score_auc
0,42,0.0,BR,0.6417494460776266,3.774823100000504,1.0,0.1,0.0902222222222222,0.09,-0.0108641975308645,0.8022688888888888
0,42,0.0,CC,0.6341780858876132,3.5115574000083143,1.0,0.1,0.0902222222222222,0.09,-0.0108641975308645,0.8022688888888888
0,42,0.0,ML-KNN,0.5834901857172803,6.401481499997317,1.0,0.1,0.0902222222222222,0.09,-0.0108641975308645,0.8022688888888888
0,42,0.0,GCN,0.6053042324914044,35.25708309999027,1.0,0.1,0.0902222222222222,0.09,-0.0108641975308645,0.8022688888888888
0,42,0.25,BR,0.6891005883164788,2.673305700009223,1.0,0.1,0.1548888888888888,0.15,0.0609876543209871,0.8043366666666666
0,42,0.25,CC,0.6681714623838656,2.287445599999046,1.0,0.1,0.1548888888888888,0.15,0.0609876543209871,0.8043366666666666
0,42,0.25,ML-KNN,0.5629174511498827,0.5130591999914031,1.0,0.1,0.1548888888888888,0.15,0.0609876543209871,0.8043366666666666
0,42,0.25,GCN,0.5643358480679372,28.4759761000023,1.0,0.1,0.1548888888888888,0.15,0.0609876543209871,0.8043366666666666
0,42,0.5,BR,0.6736991314989429,2.530464399998891,1.0,0.1,0.2324444444444444,0.23,0.1471604938271596,0.79851
0,42,0.5,CC,0.6276677774538444,2.917044300003909,1.0,0.1,0.2324444444444444,0.23,0.1471604938271596,0.79851
0,42,0.5,ML-KNN,0.5384554157157704,1.925812600005884,1.0,0.1,0.2324444444444444,0.23,0.1471604938271596,0.79851
0,42,0.5,GCN,0.4932382465817702,7.831586799991783,1.0,0.1,0.2324444444444444,0.23,0.1471604938271596,0.79851
0,42,0.75,BR,0.660526388930318,2.354231899997103,1.0,0.1,0.3415555555555555,0.34,0.2683950617283943,0.7899933333333333
0,42,0.75,CC,0.620749964075082,2.3453819999995176,1.0,0.1,0.3415555555555555,0.34,0.2683950617283943,0.7899933333333333
0,42,0.75,ML-KNN,0.5354539683611238,1.4139029000070875,1.0,0.1,0.3415555555555555,0.34,0.2683950617283943,0.7899933333333333
0,42,0.75,GCN,0.4864698682540624,16.61533820000477,1.0,0.1,0.3415555555555555,0.34,0.2683950617283943,0.7899933333333333
0,42,0.9,BR,0.6361100346125522,2.324048099995707,1.0,0.1,0.4286666666666666,0.41,0.3651851851851859,0.7894599999999999
0,42,0.9,CC,0.6214142989931339,3.3537693999969638,1.0,0.1,0.4286666666666666,0.41,0.3651851851851859,0.7894599999999999
0,42,0.9,ML-KNN,0.5651330960756409,2.363396399989142,1.0,0.1,0.4286666666666666,0.41,0.3651851851851859,0.7894599999999999
0,42,0.9,GCN,0.4740785459115512,8.681924900010927,1.0,0.1,0.4286666666666666,0.41,0.3651851851851859,0.7894599999999999
1,1042,0.0,BR,0.6830132472542714,3.378532299990184,1.0,0.1,0.1144444444444444,0.11,0.0160493827160491,0.7987077777777777
1,1042,0.0,CC,0.6809980107172232,2.792329599993536,1.0,0.1,0.1144444444444444,0.11,0.0160493827160491,0.7987077777777777
1,1042,0.0,ML-KNN,0.6010334381916721,10.451406299995142,1.0,0.1,0.1144444444444444,0.11,0.0160493827160491,0.7987077777777777
1,1042,0.0,GCN,0.6315201437399299,33.895642700008466,1.0,0.1,0.1144444444444444,0.11,0.0160493827160491,0.7987077777777777
1,1042,0.25,BR,0.6985661139138706,2.5979188999917824,1.0,0.1,0.1762222222222222,0.17,0.0846913580246906,0.7926200000000001
1,1042,0.25,CC,0.6868076221753479,2.494904899998801,1.0,0.1,0.1762222222222222,0.17,0.0846913580246906,0.7926200000000001
1,1042,0.25,ML-KNN,0.5833444094389661,0.5965029000071809,1.0,0.1,0.1762222222222222,0.17,0.0846913580246906,0.7926200000000001
1,1042,0.25,GCN,0.6459792415197728,12.3711811999965,1.0,0.1,0.1762222222222222,0.17,0.0846913580246906,0.7926200000000001
1,1042,0.5,BR,0.6869850969591484,2.5075623000011547,1.0,0.1,0.2511111111111111,0.26,0.1679012345679001,0.7946377777777778
1,1042,0.5,CC,0.6525613886906662,2.5660778999881586,1.0,0.1,0.2511111111111111,0.26,0.1679012345679001,0.7946377777777778
1,1042,0.5,ML-KNN,0.5667284606924518,1.175138099992182,1.0,0.1,0.2511111111111111,0.26,0.1679012345679001,0.7946377777777778
1,1042,0.5,GCN,0.5459653648344654,15.320133000001078,1.0,0.1,0.2511111111111111,0.26,0.1679012345679001,0.7946377777777778
1,1042,0.75,BR,0.6839414511133785,2.9826868000091054,1.0,0.1,0.3313333333333333,0.33,0.2570370370370358,0.8024666666666667
1,1042,0.75,CC,0.6539037762486543,2.487683499988634,1.0,0.1,0.3313333333333333,0.33,0.2570370370370358,0.8024666666666667
1,1042,0.75,ML-KNN,0.5753839371027694,0.571656800006167,1.0,0.1,0.3313333333333333,0.33,0.2570370370370358,0.8024666666666667
1,1042,0.75,GCN,0.5322415048137954,22.23405739999725,1.0,0.1,0.3313333333333333,0.33,0.2570370370370358,0.8024666666666667
1,1042,0.9,BR,0.6665649807667436,3.0679242000041995,1.0,0.1,0.4148888888888889,0.42,0.3498765432098761,0.7984077777777779
1,1042,0.9,CC,0.6696323540520108,2.782031399998232,1.0,0.1,0.4148888888888889,0.42,0.3498765432098761,0.7984077777777779
1,1042,0.9,ML-KNN,0.6006793521179472,2.30560289999994,1.0,0.1,0.4148888888888889,0.42,0.3498765432098761,0.7984077777777779
1,1042,0.9,GCN,0.5156886564164926,8.299555899997358,1.0,0.1,0.4148888888888889,0.42,0.3498765432098761,0.7984077777777779
2,2042,0.0,BR,0.694295310269194,3.279362200002652,1.0,0.1,0.1044444444444444,0.1,0.0049382716049379,0.7896755555555555
2,2042,0.0,CC,0.7010784886741791,3.868392899996252,1.0,0.1,0.1044444444444444,0.1,0.0049382716049379,0.7896755555555555
2,2042,0.0,ML-KNN,0.5728384989372559,6.6519591999967815,1.0,0.1,0.1044444444444444,0.1,0.0049382716049379,0.7896755555555555
2,2042,0.0,GCN,0.6143688495443974,32.800232499997946,1.0,0.1,0.1044444444444444,0.1,0.0049382716049379,0.7896755555555555
2,2042,0.25,BR,0.6905925471513673,2.5146970999921905,1.0,0.1,0.1628888888888888,0.16,0.0698765432098759,0.8019144444444445
2,2042,0.25,CC,0.6919116550902964,2.7587692999950377,1.0,0.1,0.1628888888888888,0.16,0.0698765432098759,0.8019144444444445
2,2042,0.25,ML-KNN,0.5702904726393927,0.7751312000036705,1.0,0.1,0.1628888888888888,0.16,0.0698765432098759,0.8019144444444445
2,2042,0.25,GCN,0.6397724048718321,21.978103100002045,1.0,0.1,0.1628888888888888,0.16,0.0698765432098759,0.8019144444444445
2,2042,0.5,BR,0.6951031319345446,2.652523800003109,1.0,0.1,0.2437777777777778,0.25,0.159753086419752,0.8063844444444443
2,2042,0.5,CC,0.6708926139715053,2.9411931999929948,1.0,0.1,0.2437777777777778,0.25,0.159753086419752,0.8063844444444443
2,2042,0.5,ML-KNN,0.6236712038029362,2.0854073999944376,1.0,0.1,0.2437777777777778,0.25,0.159753086419752,0.8063844444444443
2,2042,0.5,GCN,0.5720580067450718,22.111508599991797,1.0,0.1,0.2437777777777778,0.25,0.159753086419752,0.8063844444444443
2,2042,0.75,BR,0.6928714462904739,2.720090999995591,1.0,0.1,0.3451111111111111,0.35,0.2723456790123451,0.8062699999999999
2,2042,0.75,CC,0.6696012933043566,2.9806806999986293,1.0,0.1,0.3451111111111111,0.35,0.2723456790123451,0.8062699999999999
2,2042,0.75,ML-KNN,0.6439357584477093,2.790784000011626,1.0,0.1,0.3451111111111111,0.35,0.2723456790123451,0.8062699999999999
2,2042,0.75,GCN,0.5750132110203952,27.524525200002245,1.0,0.1,0.3451111111111111,0.35,0.2723456790123451,0.8062699999999999
2,2042,0.9,BR,0.7054373074568268,3.1153235000092536,1.0,0.1,0.4097777777777777,0.4,0.3441975308641979,0.8088344444444445
2,2042,0.9,CC,0.6585886687618412,2.605876099987654,1.0,0.1,0.4097777777777777,0.4,0.3441975308641979,0.8088344444444445
2,2042,0.9,ML-KNN,0.6171828635557391,0.5438796999951592,1.0,0.1,0.4097777777777777,0.4,0.3441975308641979,0.8088344444444445
2,2042,0.9,GCN,0.5500755865331532,13.96331979999377,1.0,0.1,0.4097777777777777,0.4,0.3441975308641979,0.8088344444444445
