horizon,feature_contract,feature_count,label,n,positive_n,positive_rate,auroc,auprc,brier,ece_10,macro_f1_component,calibration_intercept,calibration_slope,observed_expected_ratio,calibration_stability
Admission,admission_safe_v1,91,FIBR_PREDS,1700,170,0.1,0.7170165321030373,0.21898411655119257,0.19624178117451394,0.3165926679368952,0.2833562585969739,-2.054493106829429,1.028438427517012,0.24004263083945548,stable
Admission,admission_safe_v1,91,PREDS_TAH,1700,20,0.011764705882352941,0.48910714285714285,0.013345988743037069,0.09911172584159497,0.24647276588381645,0.032432432432432434,-4.467624662094972,-0.032148128771224777,0.04555770238103062,unstable
Admission,admission_safe_v1,91,JELUD_TAH,1700,42,0.024705882352941175,0.7359411798495031,0.06722619347129102,0.11021067183067777,0.22679160977869736,0.11846689895470383,-3.072276985082207,0.6616474080449894,0.09823510422922886,stable
Admission,admission_safe_v1,91,FIBR_JELUD,1700,71,0.04176470588235294,0.6733846912043162,0.09376823594323955,0.16929398935410295,0.3231854122669834,0.1494949494949495,-2.8601702322404075,0.7215652141311494,0.11443949133142348,stable
Admission,admission_safe_v1,91,A_V_BLOK,1700,57,0.033529411764705884,0.7558274871597741,0.1406669005522407,0.12156900523209412,0.2475282527041773,0.19883040935672514,-2.852211194429241,0.8370110955924145,0.11929726886497356,stable
Admission,admission_safe_v1,91,OTEK_LANC,1700,159,0.09352941176470589,0.6699806953746444,0.16841067486743508,0.20671862984825146,0.3300887366276892,0.23146944083224968,-2.1496006975186037,0.7850713488300005,0.22078707467950626,stable
Admission,admission_safe_v1,91,RAZRIV,1700,54,0.03176470588235294,0.8375860672336979,0.16298510757022744,0.10157427237260795,0.19515228162845802,0.19169329073482427,-2.7428435017105603,0.8519769212907069,0.13998381624398912,stable
Admission,admission_safe_v1,91,DRESSLER,1700,75,0.04411764705882353,0.6275364102564103,0.08230735962355676,0.18293818465701014,0.3405906644529297,0.09578544061302682,-2.874832716329051,0.5488798483319,0.11467817496705084,stable
Admission,admission_safe_v1,91,ZSN,1700,394,0.23176470588235293,0.6814351567540675,0.36378725316039406,0.22487890828708226,0.2416417798259679,0.44798500468603564,-1.1707469590263033,1.0877812825251005,0.48956808341056346,stable
Admission,admission_safe_v1,91,REC_IM,1700,159,0.09352941176470589,0.6493945367502112,0.17106675229362894,0.21384584141504367,0.34922574329902145,0.22959183673469388,-2.163052480987208,0.9086718899264074,0.211244094382693,stable
Admission,admission_safe_v1,91,P_IM_STEN,1700,148,0.08705882352941176,0.6683224784062413,0.14110466706627067,0.2115992953701379,0.34461873735761384,0.22391857506361323,-2.239710707679927,0.8282343648969896,0.2016755824660433,stable
Admission,admission_safe_v1,91,LET_IS,1700,271,0.15941176470588236,0.8493850368874579,0.5871741108975326,0.14741088047894124,0.19271907596816035,0.5310435931307794,-1.533218770210961,0.9762617058045135,0.4527060577844848,stable
24 h,prospective_24h,94,FIBR_PREDS,1700,170,0.1,0.714321414840446,0.22289725923152137,0.20084535326816796,0.32339058004626453,0.2917771883289125,-2.087548562586508,1.0281470342366659,0.23618853303035897,stable
24 h,prospective_24h,94,PREDS_TAH,1700,20,0.011764705882352941,0.4694940476190476,0.011785756330472451,0.10419689878850971,0.24846919851765753,0.018518518518518517,-4.578133575182899,-0.1101029356874209,0.0452081980227649,unstable
24 h,prospective_24h,94,JELUD_TAH,1700,42,0.024705882352941175,0.7323510827732782,0.06443688810840076,0.1199867538345924,0.24263431443721128,0.10810810810810811,-3.141558744946926,0.6497525588740676,0.09241364616909425,stable
24 h,prospective_24h,94,FIBR_JELUD,1700,71,0.04176470588235294,0.6996861463439941,0.10318428164691552,0.16138556252980563,0.3006059855556335,0.13617021276595745,-2.832613565093664,0.6897785689492171,0.12198680239519796,stable
24 h,prospective_24h,94,A_V_BLOK,1700,57,0.033529411764705884,0.7724316878623827,0.14061270827292116,0.12469935778894167,0.24896247768643492,0.1853932584269663,-2.8704855228328334,0.8481055408680196,0.1186915908624876,stable
24 h,prospective_24h,94,OTEK_LANC,1700,159,0.09352941176470589,0.7234336928972854,0.20325709991774252,0.19464216049798055,0.3114655985378606,0.2805049088359046,-2.1393471801498825,0.8713500124143232,0.23093966440433752,stable
24 h,prospective_24h,94,RAZRIV,1700,54,0.03176470588235294,0.829159353764457,0.13305022564759067,0.11183601895401486,0.21140094952185173,0.18823529411764706,-2.8343323257669875,0.8035984279151303,0.13062990260508509,stable
24 h,prospective_24h,94,DRESSLER,1700,75,0.04411764705882353,0.636291282051282,0.0736005185485264,0.18610667273911707,0.34805967482152356,0.12710280373831775,-2.882909270129548,0.5822983494668108,0.11249413109176104,stable
24 h,prospective_24h,94,ZSN,1700,394,0.23176470588235293,0.6777621442619383,0.3541798126213389,0.22497735405214303,0.24073334694872883,0.44216417910447764,-1.1609931473180808,1.1090465327300305,0.4905093354219787,stable
24 h,prospective_24h,94,REC_IM,1700,159,0.09352941176470589,0.6547737114264609,0.16984446185410723,0.21235606248988534,0.3468562548570335,0.242503259452412,-2.16040188255471,0.8934983790208262,0.21238069004875482,stable
24 h,prospective_24h,94,P_IM_STEN,1700,148,0.08705882352941176,0.6629588673725271,0.13298839364953122,0.21195520620725392,0.3452160337599378,0.21662468513853905,-2.2371706426226017,0.7977341075995568,0.20139691694152279,stable
24 h,prospective_24h,94,LET_IS,1700,271,0.15941176470588236,0.8487911191218279,0.5909471904286271,0.14818863794280496,0.1929776306442321,0.5212903225806451,-1.5448317009906853,0.963769140611591,0.4523738989009579,stable
48 h,prospective_48h,97,FIBR_PREDS,1700,170,0.1,0.7103537101114955,0.22582479144802065,0.1947571501276335,0.31205265622301137,0.27434842249657065,-2.0470504946549672,0.9678680060323394,0.24268742960336104,stable
48 h,prospective_48h,97,PREDS_TAH,1700,20,0.011764705882352941,0.5014880952380952,0.013521552524416953,0.08381577772447138,0.21287444605935005,0.038461538461538464,-4.477616041760219,-0.034142156385148656,0.052371573613338995,unstable
48 h,prospective_48h,97,JELUD_TAH,1700,42,0.024705882352941175,0.7514791199954045,0.06386714812614568,0.1064060167939555,0.21790897203596324,0.1371841155234657,-3.049141857425761,0.6466527918605436,0.10183169705404099,stable
48 h,prospective_48h,97,FIBR_JELUD,1700,71,0.04176470588235294,0.6973603437691835,0.13656124904856362,0.15480651906444556,0.2895739261008429,0.1400437636761488,-2.8001355990125423,0.6967496999814713,0.12604840441446344,stable
48 h,prospective_48h,97,A_V_BLOK,1700,57,0.033529411764705884,0.7614974746665812,0.11687053214524853,0.11496884303279956,0.22787182938649234,0.18902439024390244,-2.790953887303712,0.7664226217365779,0.12826798991865532,stable
48 h,prospective_48h,97,OTEK_LANC,1700,159,0.09352941176470589,0.7366449132516254,0.21789915516128297,0.18423318833926713,0.29377300058245004,0.28955223880597014,-2.102364926841233,0.8360482993003306,0.24148936020793857,stable
48 h,prospective_48h,97,RAZRIV,1700,54,0.03176470588235294,0.8134759911795149,0.12225340950709553,0.10444718908325738,0.19570811408457212,0.17880794701986755,-2.7608529407455533,0.7289567185311498,0.13964176417635998,stable
48 h,prospective_48h,97,DRESSLER,1700,75,0.04411764705882353,0.6343548717948718,0.07004881927367099,0.17973979099967563,0.3342004429436365,0.1225296442687747,-2.8718554685598834,0.5009120312385109,0.11661521937408983,stable
48 h,prospective_48h,97,ZSN,1700,394,0.23176470588235293,0.689064917094861,0.3684009754863479,0.22305904603005267,0.2402440729627715,0.4492481203007519,-1.1709067862586324,1.1101208189016372,0.49101778668061513,stable
48 h,prospective_48h,97,REC_IM,1700,159,0.09352941176470589,0.6602181871609957,0.18017030491700242,0.20853457496030758,0.33956925352377926,0.25824175824175827,-2.153676439074137,0.8398474477902818,0.21595405218440547,stable
48 h,prospective_48h,97,P_IM_STEN,1700,148,0.08705882352941176,0.6571250696572861,0.13241927905890966,0.20614829483922834,0.3340031570811921,0.22015915119363394,-2.2076719667590834,0.7348267194840138,0.20676011499105965,stable
48 h,prospective_48h,97,LET_IS,1700,271,0.15941176470588236,0.8455917099408923,0.5936802056230575,0.14604766281660608,0.18773453268922372,0.5131578947368421,-1.5085821976304272,0.9530013409382666,0.45920629400937324,stable
72 h,prospective_72h,100,FIBR_PREDS,1700,170,0.1,0.7171472510572857,0.22212541422202248,0.19143107451040137,0.3082184111358776,0.2865248226950355,-2.02849921676333,1.0021859606734318,0.24496690318730993,stable
72 h,prospective_72h,100,PREDS_TAH,1700,20,0.011764705882352941,0.472797619047619,0.012264331793845947,0.08742735782542448,0.22186744392645583,0.012658227848101266,-4.71608950935007,-0.1900968255302159,0.05035568046598256,unstable
72 h,prospective_72h,100,JELUD_TAH,1700,42,0.024705882352941175,0.7405652248836808,0.06376876472421922,0.10856763365962677,0.22474314327722908,0.12811387900355872,-3.0837506190227337,0.6185423003997044,0.09904180740144393,stable
72 h,prospective_72h,100,FIBR_JELUD,1700,71,0.04176470588235294,0.6945244209270356,0.14134187797696063,0.1563304666286779,0.2958338512570231,0.14505494505494507,-2.808532681096786,0.7178604891183956,0.12371115041558241,stable
