Dependency,Strength,Model,Macro-AUC,Time (s),Label_Cardinality,LDS
Low,0.05,BR,0.8871 ± 0.0000,4.8,2.674,0.000972365494648442
Low,0.05,CC,0.8759 ± 0.0000,0.5,2.674,0.000972365494648442
Low,0.05,ML-KNN,0.7593 ± 0.0000,0.2,2.674,0.000972365494648442
Low,0.05,GCN,0.6260 ± 0.0000,1.8,2.674,0.000972365494648442
Medium,0.25,BR,0.8291 ± 0.0000,0.4,2.899,0.0010501480209205826
Medium,0.25,CC,0.8113 ± 0.0000,0.4,2.899,0.0010501480209205826
Medium,0.25,ML-KNN,0.7206 ± 0.0000,0.1,2.899,0.0010501480209205826
Medium,0.25,GCN,0.6350 ± 0.0000,0.5,2.899,0.0010501480209205826
High,0.5,BR,0.8076 ± 0.0000,0.4,2.975,0.0010765468300947142
High,0.5,CC,0.7783 ± 0.0000,0.4,2.975,0.0010765468300947142
High,0.5,ML-KNN,0.7079 ± 0.0000,0.1,2.975,0.0010765468300947142
High,0.5,GCN,0.6158 ± 0.0000,0.5,2.975,0.0010765468300947142
Very High,0.75,BR,0.8117 ± 0.0000,0.4,3.123,0.0016231002284360105
Very High,0.75,CC,0.7219 ± 0.0000,0.4,3.123,0.0016231002284360105
Very High,0.75,ML-KNN,0.6988 ± 0.0000,0.1,3.123,0.0016231002284360105
Very High,0.75,GCN,0.7446 ± 0.0000,0.5,3.123,0.0016231002284360105
